Lease_ID,Lease_Description,Base_Rent,Additional_Payments,Total
3229-2-000017,"Building - 371-395 MASSACHUSETTS AVE, ACTON PLZ II SHOPPING CTR UNIT #20, Acton, MA","28,389.00","3,540.74","31,929.74"
3229-2-000018,"Building - 301 MT HOPE AVE, ROCKAWAY TOWNSQUARE  RM 1040A, Rockaway, NJ","17,166.67",0.00,"17,166.67"
3229-2-000019,"Building - 99 FARMINGTON AVE, Bristol, CT","11,600.00",0.00,"11,600.00"
3229-2-000020,"Building - 887 GRAND ARMY HWY, Somerset, MA","6,250.00","1,791.67","8,041.67"
3229-2-000021,"Building - 95 WASHINGTON ST, THE VLG SHOPPES IN CANTON, Canton, MA","12,500.00",0.00,"12,500.00"
3229-2-000022,"Building - 174 COLONY PL, SPACE NO. 132, Plymouth, MA","14,933.33","4,562.13","19,495.46"
3229-2-000023,"Building - 92 FARMINGTON RD, Rochester, NH",0.01,0.00,0.01
3229-2-000024,"Building - 1315 W MAIN RD, RK MIDDLETOWN SQ, Middletown, RI","12,500.00",0.00,"12,500.00"
3229-2-000025,"Building - 110 ALBANY TPKE, THE SHOPPES AT FARMINGTON VLY, Canton, CT",0.01,0.00,0.01
3229-2-000026,"Building - 710, FELLSWAY PLZ, Medford, MA","18,333.33","4,469.85","22,803.18"
3229-2-000027,"Building - 605 CONSTITUTION AVE, THE PT, Littleton, MA","10,925.00","3,250.00","14,175.00"
3229-2-000028,"Building - 110 KINDSLAND RD, STE #5  CLIFTON COMMONS, Clifton, NJ","15,000.00","5,657.85","20,657.85"
3229-2-000029,"Building - 280 SCHOOL ST, MANSFIELD XING, Mansfield, MA",0.01,0.00,0.01
3229-2-000030,"Building - 6 SIMS RD, BISHOP'S COR W STORE SPACE #L-050, W Hartford, CT","16,666.67",0.00,"16,666.67"
3229-2-000031,"Building - RT. 17 FRANKLIN TPKE, INTERSTATE SHOPPING CTR, Ramsey, NJ","16,558.08",0.00,"16,558.08"
3229-2-000032,"Building - 200-240 RTE 10 W, HANOVER COMMONS UNIT #20, East Hanover, NJ","15,206.83",0.00,"15,206.83"
3229-2-000033,"Building - 790 IYANNOUGH RD, Hyannis, MA","8,333.33",0.00,"8,333.33"
3229-2-000034,"Building - 275-281 NJ-10, ROXBURY MALL, Succasunna, NJ","8,050.00","2,245.38","10,295.38"
3229-2-000035,"Building - RTE 140 9 MOZZONE BLVD, Taunton, MA","12,500.00",0.00,"12,500.00"
3229-2-000036,"Building - 160 OLD TOWER HILL RD, Wakefield, RI","8,833.33",0.00,"8,833.33"
3229-2-000040,"Building - 100 MIDWAY RD, Cranston, RI","13,240.92",0.00,"13,240.92"
3229-2-000042,"Building - 65 NEWPORT AVE, STOP  SHOP PLZ, Quincy, MA","10,762.08","1,089.07","11,851.15"
3229-2-000043,"Building - THE SHOPS AT SOMERSET SQ, Glastonbury, CT","14,530.75",0.00,"14,530.75"
3229-2-000046,"Building - 501 EVERGREEN WAY, SPACE 410 420, South Windsor, CT","13,219.02","6,453.00","19,672.02"
3229-2-000054,"Building - 57 WANAQUE AVE, POMPTON LKS TOWNE SQ UNIT #13B, Pompton Lakes, NJ","7,350.00",0.00,"7,350.00"
,,,,
